z,a,year,method,reference
51,123,2024,,"PLB 847 138278"
51,124,2024,,"PLB 847 138278"
51,125,2024,,"PLB 847 138278"
51,126,2024,,"PLB 847 138278"
51,127,2024,,"PLB 847 138278"
51,128,2024,,"PLB 847 138278"
51,129,2024,,"PLB 847 138278"
51,130,2024,,"PLB 847 138278"
51,131,2024,,"PLB 847 138278"
51,132,2024,,"PLB 847 138278"
51,133,2024,,"PLB 847 138278"
70,168,2024,VS-IMSRG,"PRL 134 063002"
70,170,2024,VS-IMSRG,"PRL 134 063002"
70,172,2024,VS-IMSRG,"PRL 134 063002"
70,174,2024,VS-IMSRG,"PRL 134 063002"
70,176,2024,VS-IMSRG,"PRL 134 063002"
81,207,2024,,"PRL 132 232503"
83,209,2024,,"PRL 132 232503"
82,209,2025,,
82,266,2025,,
82,267,2025,,
83,267,2025,,
