,A,Z,N,Nmax,pdim,ndim,dim
2635,14,10,4,4,788199,9152,4209554
2636,15,4,11,4,9152,2123114,10694401
2637,15,11,4,4,2123114,9152,10694401
2638,16,4,12,4,9152,4800513,22896898
2639,16,12,4,4,4800513,9152,22896898
2640,17,4,13,4,9152,9139894,40098138
2641,17,13,4,4,9139894,9152,40098138
2642,18,4,14,4,9152,14655839,59557940
2643,18,14,4,4,14655839,9152,59557940
2644,19,4,15,4,9152,19738118,72631247
2645,19,15,4,4,19738118,9152,72631247
2646,10,5,5,4,24392,24392,581740
2647,11,5,6,4,24392,46565,814092
2648,11,6,5,4,46565,24392,814092
2649,12,5,7,4,24392,63910,838670
2650,12,7,5,4,63910,24392,838670
2651,13,5,8,4,24392,62152,597472
2652,13,8,5,4,62152,24392,597472
2653,14,5,9,4,24392,243962,2409594
2654,14,9,5,4,243962,24392,2409594
2655,15,5,10,4,24392,788199,7560630
2656,15,10,5,4,788199,24392,7560630
2657,16,5,11,4,24392,2123114,19651110
2658,16,11,5,4,2123114,24392,19651110
2659,17,5,12,4,24392,4800513,41245873
2660,17,12,5,4,4800513,24392,41245873
2661,18,5,13,4,24392,9139894,72933636
2662,18,13,5,4,9139894,24392,72933636
2663,19,5,14,4,24392,14655839,105484158
2664,19,14,5,4,14655839,24392,105484158
2665,20,5,15,4,24392,19738118,128686746
2666,20,15,5,4,19738118,24392,128686746
2667,21,5,16,4,24392,22198439,128103594
2668,21,16,5,4,22198439,24392,128103594
2669,12,6,6,4,46565,46565,1118926
2670,13,6,7,4,46565,63910,1065847
2671,13,7,6,4,63910,46565,1065847
2672,14,6,8,4,46565,62152,731140
2673,14,8,6,4,62152,46565,731140
2674,15,6,9,4,46565,243962,2956493
2675,15,9,6,4,243962,46565,2956493
2676,16,6,10,4,46565,788199,9601590
2677,16,10,6,4,788199,46565,9601590
2678,17,6,11,4,46565,2123114,24596409
2679,17,11,6,4,2123114,46565,24596409
2680,18,6,12,4,46565,4800513,52352269
2681,18,12,6,4,4800513,46565,52352269
2682,19,6,13,4,46565,9139894,90193041
2683,19,13,6,4,9139894,46565,90193041
2684,20,6,14,4,46565,14655839,130429962
2685,20,14,6,4,14655839,46565,130429962
2686,21,6,15,4,46565,19738118,153572095
2687,21,15,6,4,19738118,46565,153572095
2688,22,6,16,4,46565,22198439,151151585
2689,22,16,6,4,22198439,46565,151151585
2690,23,6,17,4,46565,20659534,120020157
2691,23,17,6,4,20659534,46565,120020157
2692,14,7,7,4,63910,63910,974604
2693,15,7,8,4,63910,62152,602455
2694,15,8,7,4,62152,63910,602455
2695,16,7,9,4,63910,243962,2581204
2696,16,9,7,4,243962,63910,2581204
2697,17,7,10,4,63910,788199,8366771
2698,17,10,7,4,788199,63910,8366771
2699,18,7,11,4,63910,2123114,21972254
2700,18,11,7,4,2123114,63910,21972254
2701,19,7,12,4,63910,4800513,45801264
2702,19,12,7,4,4800513,63910,45801264
2703,20,7,13,4,63910,9139894,79225966
2704,20,13,7,4,9139894,63910,79225966
2705,21,7,14,4,63910,14655839,110641629
2706,21,14,7,4,14655839,63910,110641629
2707,22,7,15,4,63910,19738118,128751934
2708,22,15,7,4,19738118,63910,128751934
2709,23,7,16,4,63910,22198439,120834522
2710,23,16,7,4,22198439,63910,120834522
2711,24,7,17,4,63910,20659534,93491114
2712,24,17,7,4,20659534,63910,93491114
2713,25,7,18,4,63910,15704597,57287358
2714,25,18,7,4,15704597,63910,57287358
2715,16,8,8,4,62152,62152,345365
2716,17,8,9,4,62152,243962,1517012
2717,17,9,8,4,243962,62152,1517012
2718,18,8,10,4,62152,788199,5151561
2719,18,10,8,4,788199,62152,5151561
2720,19,8,11,4,62152,2123114,13408212
2721,19,11,8,4,2123114,62152,13408212
2722,20,8,12,4,62152,4800513,28346308
2723,20,12,8,4,4800513,62152,28346308
2724,21,8,13,4,62152,9139894,47569630
2725,21,13,8,4,9139894,62152,47569630
2726,22,8,14,4,62152,14655839,65885175
2727,22,14,8,4,14655839,62152,65885175
2728,23,8,15,4,62152,19738118,73094967
2729,23,15,8,4,19738118,62152,73094967
2730,24,8,16,4,62152,22198439,66758188
2731,24,16,8,4,22198439,62152,66758188
2732,25,8,17,4,62152,20659534,48370090
2733,25,17,8,4,20659534,62152,48370090
2734,26,8,18,4,62152,15704597,28270335
2735,26,18,8,4,15704597,62152,28270335
2736,27,8,19,4,62152,9572862,12687302
2737,27,19,8,4,9572862,62152,12687302
2738,18,9,9,4,243962,243962,6706870
2739,19,9,10,4,243962,788199,22197611
2740,19,10,9,4,788199,243962,22197611
2741,20,9,11,4,243962,2123114,58827282
2742,20,11,9,4,2123114,243962,58827282
2743,21,9,12,4,243962,4800513,122924862
2744,21,12,9,4,4800513,243962,122924862
2745,22,9,13,4,243962,9139894,211464906
2746,22,13,9,4,9139894,243962,211464906
2747,23,9,14,4,243962,14655839,292374434
2748,23,14,9,4,14655839,243962,292374434
2749,24,9,15,4,243962,19738118,334918218
2750,24,15,9,4,19738118,243962,334918218
2751,25,9,16,4,243962,22198439,308437928
2752,25,16,9,4,22198439,243962,308437928
2753,26,9,17,4,243962,20659534,233155370
2754,26,17,9,4,20659534,243962,233155370
2755,27,9,18,4,243962,15704597,139254696
2756,27,18,9,4,15704597,243962,139254696
2757,28,9,19,4,243962,9572862,66331150
2758,28,19,9,4,9572862,243962,66331150
