,A,Z,N,Nmax,pdim,ndim,dim
41,13,11,2,0,220,1,37
42,14,2,12,0,1,495,81
43,14,12,2,0,495,1,81
44,15,2,13,0,1,792,119
45,15,13,2,0,792,1,119
46,6,3,3,0,6,6,10
47,7,3,4,0,6,15,21
48,7,4,3,0,15,6,21
49,8,3,5,0,6,20,28
50,8,5,3,0,20,6,28
51,9,3,6,0,6,15,21
52,9,6,3,0,15,6,21
53,10,3,7,0,6,6,10
54,10,7,3,0,6,6,10
55,11,3,8,0,6,1,2
56,11,8,3,0,1,6,2
57,12,3,9,0,6,12,16
58,12,9,3,0,12,6,16
59,13,3,10,0,6,66,70
60,13,10,3,0,66,6,70
61,14,3,11,0,6,220,212
62,14,11,3,0,220,6,212
63,15,3,12,0,6,495,438
64,15,12,3,0,495,6,438
65,16,3,13,0,6,792,684
66,16,13,3,0,792,6,684
67,17,3,14,0,6,924,777
68,17,14,3,0,924,6,777
69,8,4,4,0,15,15,51
70,9,4,5,0,15,20,62
71,9,5,4,0,20,15,62
72,10,4,6,0,15,15,51
73,10,6,4,0,15,15,51
74,11,4,7,0,15,6,21
75,11,7,4,0,6,15,21
76,12,4,8,0,15,1,5
77,12,8,4,0,1,15,5
78,13,4,9,0,15,12,36
79,13,9,4,0,12,15,36
80,14,4,10,0,15,66,172
81,14,10,4,0,66,15,172
82,15,4,11,0,15,220,500
83,15,11,4,0,220,15,500
84,16,4,12,0,15,495,1077
85,16,12,4,0,495,15,1077
86,17,4,13,0,15,792,1632
87,17,13,4,0,792,15,1632
88,18,4,14,0,15,924,1914
89,18,14,4,0,924,15,1914
90,19,4,15,0,15,792,1632
91,19,15,4,0,792,15,1632
92,10,5,5,0,20,20,84
93,11,5,6,0,20,15,62
94,11,6,5,0,15,20,62
95,12,5,7,0,20,6,28
96,12,7,5,0,6,20,28
97,13,5,8,0,20,1,5
98,13,8,5,0,1,20,5
99,14,5,9,0,20,12,48
100,14,9,5,0,12,20,48
101,15,5,10,0,20,66,218
102,15,10,5,0,66,20,218
103,16,5,11,0,20,220,670
104,16,11,5,0,220,20,670
105,17,5,12,0,20,495,1392
106,17,12,5,0,495,20,1392
107,18,5,13,0,20,792,2182
108,18,13,5,0,792,20,2182
109,19,5,14,0,20,924,2483
110,19,14,5,0,924,20,2483
111,20,5,15,0,20,792,2182
112,20,15,5,0,792,20,2182
113,21,5,16,0,20,495,1392
114,21,16,5,0,495,20,1392
115,12,6,6,0,15,15,51
116,13,6,7,0,15,6,21
117,13,7,6,0,6,15,21
118,14,6,8,0,15,1,5
119,14,8,6,0,1,15,5
120,15,6,9,0,15,12,36
121,15,9,6,0,12,15,36
122,16,6,10,0,15,66,172
123,16,10,6,0,66,15,172
124,17,6,11,0,15,220,500
125,17,11,6,0,220,15,500
126,18,6,12,0,15,495,1077
127,18,12,6,0,495,15,1077
128,19,6,13,0,15,792,1632
129,19,13,6,0,792,15,1632
130,20,6,14,0,15,924,1914
131,20,14,6,0,924,15,1914
132,21,6,15,0,15,792,1632
133,21,15,6,0,792,15,1632
134,22,6,16,0,15,495,1077
135,22,16,6,0,495,15,1077
136,23,6,17,0,15,220,500
137,23,17,6,0,220,15,500
138,14,7,7,0,6,6,10
139,15,7,8,0,6,1,2
140,15,8,7,0,1,6,2
141,16,7,9,0,6,12,16
142,16,9,7,0,12,6,16
143,17,7,10,0,6,66,70
144,17,10,7,0,66,6,70
145,18,7,11,0,6,220,212
146,18,11,7,0,220,6,212
147,19,7,12,0,6,495,438
148,19,12,7,0,495,6,438
149,20,7,13,0,6,792,684
150,20,13,7,0,792,6,684
151,21,7,14,0,6,924,777
152,21,14,7,0,924,6,777
153,22,7,15,0,6,792,684
154,22,15,7,0,792,6,684
155,23,7,16,0,6,495,438
156,23,16,7,0,495,6,438
157,24,7,17,0,6,220,212
158,24,17,7,0,220,6,212
159,25,7,18,0,6,66,70
160,25,18,7,0,66,6,70
161,16,8,8,0,1,1,1
162,17,8,9,0,1,12,3
163,17,9,8,0,12,1,3
164,18,8,10,0,1,66,14
165,18,10,8,0,66,1,14
166,19,8,11,0,1,220,37
167,19,11,8,0,220,1,37
168,20,8,12,0,1,495,81
169,20,12,8,0,495,1,81
170,21,8,13,0,1,792,119
171,21,13,8,0,792,1,119
172,22,8,14,0,1,924,142
173,22,14,8,0,924,1,142
174,23,8,15,0,1,792,119
175,23,15,8,0,792,1,119
176,24,8,16,0,1,495,81
177,24,16,8,0,495,1,81
178,25,8,17,0,1,220,37
179,25,17,8,0,220,1,37
180,26,8,18,0,1,66,14
181,26,18,8,0,66,1,14
182,27,8,19,0,1,12,3
183,27,19,8,0,12,1,3
184,18,9,9,0,12,12,28
185,19,9,10,0,12,66,128
186,19,10,9,0,66,12,128
187,20,9,11,0,12,220,394
188,20,11,9,0,220,12,394
189,21,9,12,0,12,495,822
190,21,12,9,0,495,12,822
191,22,9,13,0,12,792,1290
192,22,13,9,0,792,12,1290
193,23,9,14,0,12,924,1469
194,23,14,9,0,924,12,1469
195,24,9,15,0,12,792,1290
196,24,15,9,0,792,12,1290
197,25,9,16,0,12,495,822
198,25,16,9,0,495,12,822
199,26,9,17,0,12,220,394
200,26,17,9,0,220,12,394
201,27,9,18,0,12,66,128
202,27,18,9,0,66,12,128
203,28,9,19,0,12,12,28
204,28,19,9,0,12,12,28
205,29,9,20,0,12,1,3
206,29,20,9,0,1,12,3
207,20,10,10,0,66,66,640
208,21,10,11,0,66,220,1935
209,21,11,10,0,220,66,1935
210,22,10,12,0,66,495,4206
211,22,12,10,0,495,66,4206
212,23,10,13,0,66,792,6457
213,23,13,10,0,792,66,6457
214,24,10,14,0,66,924,7562
215,24,14,10,0,924,66,7562
216,25,10,15,0,66,792,6457
217,25,15,10,0,792,66,6457
218,26,10,16,0,66,495,4206
219,26,16,10,0,495,66,4206
220,27,10,17,0,66,220,1935
221,27,17,10,0,220,66,1935
222,28,10,18,0,66,66,640
223,28,18,10,0,66,66,640
224,29,10,19,0,66,12,128
225,29,19,10,0,12,66,128
226,30,10,20,0,66,1,14
227,30,20,10,0,1,66,14
228,31,10,21,0,66,20,192
229,31,21,10,0,20,66,192
230,22,11,11,0,220,220,6116
231,23,11,12,0,220,495,13029
232,23,12,11,0,495,220,13029
233,24,11,13,0,220,792,20564
234,24,13,11,0,792,220,20564
235,25,11,14,0,220,924,23558
236,25,14,11,0,924,220,23558
237,26,11,15,0,220,792,20564
238,26,15,11,0,792,220,20564
239,27,11,16,0,220,495,13029
240,27,16,11,0,495,220,13029
241,28,11,17,0,220,220,6116
242,28,17,11,0,220,220,6116
243,29,11,18,0,220,66,1935
244,29,18,11,0,66,220,1935
245,30,11,19,0,220,12,394
246,30,19,11,0,12,220,394
247,31,11,20,0,220,1,37
248,31,20,11,0,1,220,37
249,32,11,21,0,220,20,600
250,32,21,11,0,20,220,600
251,33,11,22,0,220,190,4866
252,33,22,11,0,190,220,4866
253,24,12,12,0,495,495,28503
254,25,12,13,0,495,792,44133
255,25,13,12,0,792,495,44133
256,26,12,14,0,495,924,51630
257,26,14,12,0,924,495,51630
258,27,12,15,0,495,792,44133
259,27,15,12,0,792,495,44133
260,28,12,16,0,495,495,28503
261,28,16,12,0,495,495,28503
262,29,12,17,0,495,220,13029
263,29,17,12,0,220,495,13029
264,30,12,18,0,495,66,4206
265,30,18,12,0,66,495,4206
266,31,12,19,0,495,12,822
267,31,19,12,0,12,495,822
268,32,12,20,0,495,1,81
269,32,20,12,0,1,495,81
270,33,12,21,0,495,20,1269
271,33,21,12,0,20,495,1269
272,34,12,22,0,495,190,10668
273,34,22,12,0,190,495,10668
274,35,12,23,0,495,1140,57624
275,35,23,12,0,1140,495,57624
276,26,13,13,0,792,792,69784
277,27,13,14,0,792,924,80115
278,27,14,13,0,924,792,80115
279,28,13,15,0,792,792,69784
280,28,15,13,0,792,792,69784
281,29,13,16,0,792,495,44133
282,29,16,13,0,495,792,44133
283,30,13,17,0,792,220,20564
284,30,17,13,0,220,792,20564
285,31,13,18,0,792,66,6457
286,31,18,13,0,66,792,6457
287,32,13,19,0,792,12,1290
288,32,19,13,0,12,792,1290
289,33,13,20,0,792,1,119
290,33,20,13,0,1,792,119
291,34,13,21,0,792,20,1998
292,34,21,13,0,20,792,1998
293,35,13,22,0,792,190,16539
294,35,22,13,0,190,792,16539
295,36,13,23,0,792,1140,91326
296,36,23,13,0,1140,792,91326
297,37,13,24,0,792,4845,360051
298,37,24,13,0,4845,792,360051
299,28,14,14,0,924,924,93710
300,29,14,15,0,924,792,80115
301,29,15,14,0,792,924,80115
302,30,14,16,0,924,495,51630
303,30,16,14,0,495,924,51630
304,31,14,17,0,924,220,23558
305,31,17,14,0,220,924,23558
306,32,14,18,0,924,66,7562
307,32,18,14,0,66,924,7562
308,33,14,19,0,924,12,1469
309,33,19,14,0,12,924,1469
310,34,14,20,0,924,1,142
311,34,20,14,0,1,924,142
312,35,14,21,0,924,20,2284
313,35,21,14,0,20,924,2284
314,36,14,22,0,924,190,19354
315,36,22,14,0,190,924,19354
316,37,14,23,0,924,1140,105141
317,37,23,14,0,1140,924,105141
318,38,14,24,0,924,4845,420856
319,38,24,14,0,4845,924,420856
320,39,14,25,0,924,15504,1271939
321,39,25,14,0,15504,924,1271939
322,30,15,15,0,792,792,69784
323,31,15,16,0,792,495,44133
324,31,16,15,0,495,792,44133
325,32,15,17,0,792,220,20564
326,32,17,15,0,220,792,20564
327,33,15,18,0,792,66,6457
328,33,18,15,0,66,792,6457
329,34,15,19,0,792,12,1290
330,34,19,15,0,12,792,1290
331,35,15,20,0,792,1,119
332,35,20,15,0,1,792,119
333,36,15,21,0,792,20,1998
334,36,21,15,0,20,792,1998
335,37,15,22,0,792,190,16539
336,37,22,15,0,190,792,16539
337,38,15,23,0,792,1140,91326
338,38,23,15,0,1140,792,91326
339,39,15,24,0,792,4845,360051
340,39,24,15,0,4845,792,360051
341,40,15,25,0,792,15504,1101662
342,40,25,15,0,15504,792,1101662
343,41,15,26,0,792,38760,2635073
344,41,26,15,0,38760,792,2635073
345,32,16,16,0,495,495,28503
346,33,16,17,0,495,220,13029
347,33,17,16,0,220,495,13029
348,34,16,18,0,495,66,4206
349,34,18,16,0,66,495,4206
350,35,16,19,0,495,12,822
351,35,19,16,0,12,495,822
352,36,16,20,0,495,1,81
353,36,20,16,0,1,495,81
354,37,16,21,0,495,20,1269
355,37,21,16,0,20,495,1269
356,38,16,22,0,495,190,10668
357,38,22,16,0,190,495,10668
358,39,16,23,0,495,1140,57624
359,39,23,16,0,1140,495,57624
360,40,16,24,0,495,4845,230025
361,40,24,16,0,4845,495,230025
362,41,16,25,0,495,15504,693567
363,41,25,16,0,15504,495,693567
364,42,16,26,0,495,38760,1677000
365,42,26,16,0,38760,495,1677000
366,43,16,27,0,495,77520,3240825
367,43,27,16,0,77520,495,3240825
368,34,17,17,0,220,220,6116
369,35,17,18,0,220,66,1935
370,35,18,17,0,66,220,1935
371,36,17,19,0,220,12,394
372,36,19,17,0,12,220,394
373,37,17,20,0,220,1,37
374,37,20,17,0,1,220,37
375,38,17,21,0,220,20,600
376,38,21,17,0,20,220,600
377,39,17,22,0,220,190,4866
378,39,22,17,0,190,220,4866
379,40,17,23,0,220,1140,26610
380,40,23,17,0,1140,220,26610
381,41,17,24,0,220,4845,104147
382,41,24,17,0,4845,220,104147
383,42,17,25,0,220,15504,317450
384,42,25,17,0,15504,220,317450
385,43,17,26,0,220,38760,756799
386,43,26,17,0,38760,220,756799
387,44,17,27,0,220,77520,1477516
388,44,27,17,0,77520,220,1477516
389,45,17,28,0,220,125970,2339660
390,45,28,17,0,125970,220,2339660
391,36,18,18,0,66,66,640
392,37,18,19,0,66,12,128
393,37,19,18,0,12,66,128
394,38,18,20,0,66,1,14
395,38,20,18,0,1,66,14
396,39,18,21,0,66,20,192
397,39,21,18,0,20,66,192
398,40,18,22,0,66,190,1566
399,40,22,18,0,190,66,1566
400,41,18,23,0,66,1140,8275
401,41,23,18,0,1140,66,8275
402,42,18,24,0,66,4845,32722
403,42,24,18,0,4845,66,32722
404,43,18,25,0,66,15504,97855
405,43,25,18,0,15504,66,97855
406,44,18,26,0,66,38760,235682
407,44,26,18,0,38760,66,235682
408,45,18,27,0,66,77520,453705
409,45,27,18,0,77520,66,453705
410,46,18,28,0,66,125970,725820
411,46,28,18,0,125970,66,725820
412,47,18,29,0,66,167960,950252
413,47,29,18,0,167960,66,950252
414,38,19,19,0,12,12,28
415,39,19,20,0,12,1,3
416,39,20,19,0,1,12,3
417,40,19,21,0,12,20,40
418,40,21,19,0,20,12,40
419,41,19,22,0,12,190,304
420,41,22,19,0,190,12,304
421,42,19,23,0,12,1140,1618
422,42,23,19,0,1140,12,1618
423,43,19,24,0,12,4845,6218
424,43,24,19,0,4845,12,6218
425,44,19,25,0,12,15504,18774
426,44,25,19,0,15504,12,18774
427,45,19,26,0,12,38760,44403
428,45,26,19,0,38760,12,44403
429,46,19,27,0,12,77520,86354
430,46,27,19,0,77520,12,86354
431,47,19,28,0,12,125970,136231
432,47,28,19,0,125970,12,136231
433,48,19,29,0,12,167960,180284
434,48,29,19,0,167960,12,180284
435,49,19,30,0,12,184756,196273
436,49,30,19,0,184756,12,196273
437,40,20,20,0,1,1,1
438,41,20,21,0,1,20,4
439,41,21,20,0,20,1,4
440,42,20,22,0,1,190,30
441,42,22,20,0,190,1,30
442,43,20,23,0,1,1140,145
443,43,23,20,0,1140,1,145
444,44,20,24,0,1,4845,565
445,44,24,20,0,4845,1,565
446,45,20,25,0,1,15504,1651
447,45,25,20,0,15504,1,1651
448,46,20,26,0,1,38760,3952
449,46,26,20,0,38760,1,3952
450,47,20,27,0,1,77520,7531
451,47,27,20,0,77520,1,7531
452,48,20,28,0,1,125970,12022
453,48,28,20,0,125970,1,12022
454,49,20,29,0,1,167960,15666
455,49,29,20,0,167960,1,15666
456,50,20,30,0,1,184756,17276
457,50,30,20,0,184756,1,17276
458,51,20,31,0,1,167960,15666
459,51,31,20,0,167960,1,15666
460,42,21,21,0,20,20,60
461,43,21,22,0,20,190,472
462,43,22,21,0,190,20,472
463,44,21,23,0,20,1140,2550
464,44,23,21,0,1140,20,2550
465,45,21,24,0,20,4845,9899
466,45,24,21,0,4845,20,9899
467,46,21,25,0,20,15504,30042
468,46,25,21,0,15504,20,30042
469,47,21,26,0,20,38760,71351
470,47,26,21,0,38760,20,71351
471,48,21,27,0,20,77520,139046
472,48,27,21,0,77520,20,139046
473,49,21,28,0,20,125970,219781
474,49,28,21,0,125970,20,219781
475,50,21,29,0,20,167960,291006
476,50,29,21,0,167960,20,291006
477,51,21,30,0,20,184756,317008
478,51,30,21,0,184756,20,317008
479,52,21,31,0,20,167960,291006
480,52,31,21,0,167960,20,291006
481,53,21,32,0,20,125970,219781
482,53,32,21,0,125970,20,219781
483,44,22,22,0,190,190,4000
484,45,22,23,0,190,1140,21691
485,45,23,22,0,1140,190,21691
486,46,22,24,0,190,4845,86810
487,46,24,22,0,4845,190,86810
488,47,22,25,0,190,15504,262231
489,47,25,22,0,15504,190,262231
490,48,22,26,0,190,38760,634744
491,48,26,22,0,38760,190,634744
492,49,22,27,0,190,77520,1227767
493,49,27,22,0,77520,190,1227767
494,50,22,28,0,190,125970,1967848
495,50,28,22,0,125970,190,1967848
496,51,22,29,0,190,167960,2581709
497,51,29,22,0,167960,190,2581709
498,52,22,30,0,190,184756,2843770
499,52,30,22,0,184756,190,2843770
500,53,22,31,0,190,167960,2581709
501,53,31,22,0,167960,190,2581709
502,54,22,32,0,190,125970,1967848
503,54,32,22,0,125970,190,1967848
504,55,22,33,0,190,77520,1227767
505,55,33,22,0,77520,190,1227767
506,46,23,23,0,1140,1140,121440
507,47,23,24,0,1140,4845,483887
508,47,24,23,0,4845,1140,483887
509,48,23,25,0,1140,15504,1489168
510,48,25,23,0,15504,1140,1489168
511,49,23,26,0,1140,38760,3580369
512,49,26,23,0,38760,1140,3580369
513,50,23,27,0,1140,77520,7019100
514,50,27,23,0,77520,1140,7019100
515,51,23,28,0,1140,125970,11160694
516,51,28,23,0,125970,1140,11160694
517,52,23,29,0,1140,167960,14800768
518,52,29,23,0,167960,1140,14800768
519,53,23,30,0,1140,184756,16154588
520,53,30,23,0,184756,1140,16154588
521,54,23,31,0,1140,167960,14800768
522,54,31,23,0,167960,1140,14800768
523,55,23,32,0,1140,125970,11160694
524,55,32,23,0,125970,1140,11160694
525,56,23,33,0,1140,77520,7019100
526,56,33,23,0,77520,1140,7019100
527,57,23,34,0,1140,38760,3580369
528,57,34,23,0,38760,1140,3580369
529,48,24,24,0,4845,4845,1963461
530,49,24,25,0,4845,15504,6004205
531,49,25,24,0,15504,4845,6004205
532,50,24,26,0,4845,38760,14625240
533,50,26,24,0,38760,4845,14625240
534,51,24,27,0,4845,77520,28464525
535,51,27,24,0,77520,4845,28464525
536,52,24,28,0,4845,125970,45734928
537,52,28,24,0,125970,4845,45734928
538,53,24,29,0,4845,167960,60168718
539,53,29,24,0,167960,4845,60168718
540,54,24,30,0,4845,184756,66262352
541,54,30,24,0,184756,4845,66262352
542,55,24,31,0,4845,167960,60168718
543,55,31,24,0,167960,4845,60168718
544,56,24,32,0,4845,125970,45734928
545,56,32,24,0,125970,4845,45734928
546,57,24,33,0,4845,77520,28464525
547,57,33,24,0,77520,4845,28464525
548,58,24,34,0,4845,38760,14625240
549,58,34,24,0,38760,4845,14625240
550,59,24,35,0,4845,15504,6004205
551,59,35,24,0,15504,4845,6004205
552,50,25,25,0,15504,15504,18600516
553,51,25,26,0,15504,38760,44993824
554,51,26,25,0,38760,15504,44993824
555,52,25,27,0,15504,77520,88474280
556,52,27,25,0,77520,15504,88474280
557,53,25,28,0,15504,125970,141112513
558,53,28,25,0,125970,15504,141112513
559,54,25,29,0,15504,167960,187285228
560,54,29,25,0,167960,15504,187285228
561,55,25,30,0,15504,184756,204629054
562,55,30,25,0,184756,15504,204629054
563,56,25,31,0,15504,167960,187285228
564,56,31,25,0,167960,15504,187285228
565,57,25,32,0,15504,125970,141112513
566,57,32,25,0,125970,15504,141112513
567,58,25,33,0,15504,77520,88474280
568,58,33,25,0,77520,15504,88474280
569,59,25,34,0,15504,38760,44993824
570,59,34,25,0,38760,15504,44993824
571,60,25,35,0,15504,15504,18600516
572,60,35,25,0,15504,15504,18600516
573,61,25,36,0,15504,4845,6004205
574,61,36,25,0,4845,15504,6004205
575,52,26,26,0,38760,38760,109954620
576,53,26,27,0,38760,77520,214688113
577,53,27,26,0,77520,38760,214688113
578,54,26,28,0,38760,125970,345400174
579,54,28,26,0,125970,38760,345400174
580,55,26,29,0,38760,167960,455078565
581,55,29,26,0,167960,38760,455078565
582,56,26,30,0,38760,184756,501113392
583,56,30,26,0,184756,38760,501113392
584,57,26,31,0,38760,167960,455078565
585,57,31,26,0,167960,38760,455078565
586,58,26,32,0,38760,125970,345400174
587,58,32,26,0,125970,38760,345400174
588,59,26,33,0,38760,77520,214688113
589,59,33,26,0,77520,38760,214688113
590,60,26,34,0,38760,38760,109954620
591,60,34,26,0,38760,38760,109954620
592,61,26,35,0,38760,15504,44993824
593,61,35,26,0,15504,38760,44993824
594,62,26,36,0,38760,4845,14625240
595,62,36,26,0,4845,38760,14625240
596,63,26,37,0,38760,1140,3580369
597,63,37,26,0,1140,38760,3580369
598,54,27,27,0,77520,77520,422818568
599,55,27,28,0,77520,125970,675477701
600,55,28,27,0,125970,77520,675477701
601,56,27,29,0,77520,167960,896870862
602,56,29,27,0,167960,77520,896870862
603,57,27,30,0,77520,184756,980474907
604,57,30,27,0,184756,77520,980474907
605,58,27,31,0,77520,167960,896870862
606,58,31,27,0,167960,77520,896870862
607,59,27,32,0,77520,125970,675477701
608,59,32,27,0,125970,77520,675477701
609,60,27,33,0,77520,77520,422818568
610,60,33,27,0,77520,77520,422818568
611,61,27,34,0,77520,38760,214688113
612,61,34,27,0,38760,77520,214688113
613,62,27,35,0,77520,15504,88474280
614,62,35,27,0,15504,77520,88474280
615,63,27,36,0,77520,4845,28464525
616,63,36,27,0,4845,77520,28464525
617,64,27,37,0,77520,1140,7019100
618,64,37,27,0,1140,77520,7019100
619,65,27,38,0,77520,190,1227767
620,65,38,27,0,190,77520,1227767
621,56,28,28,0,125970,125970,1087455228
622,57,28,29,0,125970,167960,1433832973
623,57,29,28,0,167960,125970,1433832973
624,58,28,30,0,125970,184756,1578789836
625,58,30,28,0,184756,125970,1578789836
626,59,28,31,0,125970,167960,1433832973
627,59,31,28,0,167960,125970,1433832973
628,60,28,32,0,125970,125970,1087455228
629,60,32,28,0,125970,125970,1087455228
630,61,28,33,0,125970,77520,675477701
631,61,33,28,0,77520,125970,675477701
632,62,28,34,0,125970,38760,345400174
633,62,34,28,0,38760,125970,345400174
634,63,28,35,0,125970,15504,141112513
635,63,35,28,0,15504,125970,141112513
636,64,28,36,0,125970,4845,45734928
637,64,36,28,0,4845,125970,45734928
638,65,28,37,0,125970,1140,11160694
639,65,37,28,0,1140,125970,11160694
640,66,28,38,0,125970,190,1967848
641,66,38,28,0,190,125970,1967848
642,67,28,39,0,125970,20,219781
643,67,39,28,0,20,125970,219781
644,58,29,29,0,167960,167960,1904130460
645,59,29,30,0,167960,184756,2082144434
646,59,30,29,0,184756,167960,2082144434
647,60,29,31,0,167960,167960,1904130460
648,60,31,29,0,167960,167960,1904130460
649,61,29,32,0,167960,125970,1433832973
650,61,32,29,0,125970,167960,1433832973
651,62,29,33,0,167960,77520,896870862
652,62,33,29,0,77520,167960,896870862
653,63,29,34,0,167960,38760,455078565
654,63,34,29,0,38760,167960,455078565
655,64,29,35,0,167960,15504,187285228
656,64,35,29,0,15504,167960,187285228
657,65,29,36,0,167960,4845,60168718
658,65,36,29,0,4845,167960,60168718
659,66,29,37,0,167960,1140,14800768
660,66,37,29,0,1140,167960,14800768
661,67,29,38,0,167960,190,2581709
662,67,38,29,0,190,167960,2581709
663,68,29,39,0,167960,20,291006
664,68,39,29,0,20,167960,291006
665,69,29,40,0,167960,NaN,NaN
666,69,40,29,0,NaN,167960,NaN
667,60,30,30,0,184756,184756,NaN
668,61,30,31,0,184756,167960,2082144434
669,61,31,30,0,167960,184756,2082144434
670,62,30,32,0,184756,125970,1578789836
671,62,32,30,0,125970,184756,1578789836
672,63,30,33,0,184756,77520,980474907
673,63,33,30,0,77520,184756,980474907
674,64,30,34,0,184756,38760,501113392
675,64,34,30,0,38760,184756,501113392
676,65,30,35,0,184756,15504,204629054
677,65,35,30,0,15504,184756,204629054
678,66,30,36,0,184756,4845,66262352
679,66,36,30,0,4845,184756,66262352
680,67,30,37,0,184756,1140,16154588
681,67,37,30,0,1140,184756,16154588
682,68,30,38,0,184756,190,2843770
683,68,38,30,0,190,184756,2843770
684,69,30,39,0,184756,20,317008
685,69,39,30,0,20,184756,317008
686,70,30,40,0,184756,1,17276
687,70,40,30,0,1,184756,17276
688,71,30,41,0,184756,30,458021
689,71,41,30,0,30,184756,458021
690,62,31,31,0,167960,167960,1904130460
691,63,31,32,0,167960,125970,1433832973
692,63,32,31,0,125970,167960,1433832973
693,64,31,33,0,167960,77520,896870862
694,64,33,31,0,77520,167960,896870862
695,65,31,34,0,167960,38760,455078565
696,65,34,31,0,38760,167960,455078565
697,66,31,35,0,167960,15504,187285228
698,66,35,31,0,15504,167960,187285228
699,67,31,36,0,167960,4845,60168718
700,67,36,31,0,4845,167960,60168718
701,68,31,37,0,167960,1140,14800768
702,68,37,31,0,1140,167960,14800768
703,69,31,38,0,167960,190,2581709
704,69,38,31,0,190,167960,2581709
705,70,31,39,0,167960,20,291006
706,70,39,31,0,20,167960,291006
707,71,31,40,0,167960,1,15666
708,71,40,31,0,1,167960,15666
709,72,31,41,0,167960,30,NaN
710,72,41,31,0,30,167960,NaN
711,73,31,42,0,167960,435,5537978
712,73,42,31,0,435,167960,5537978
713,64,32,32,0,125970,125970,1087455228
714,65,32,33,0,125970,77520,675477701
715,65,33,32,0,77520,125970,675477701
716,66,32,34,0,125970,38760,345400174
717,66,34,32,0,38760,125970,345400174
718,67,32,35,0,125970,15504,141112513
719,67,35,32,0,15504,125970,141112513
720,68,32,36,0,125970,4845,45734928
721,68,36,32,0,4845,125970,45734928
722,69,32,37,0,125970,1140,11160694
723,69,37,32,0,1140,125970,11160694
724,70,32,38,0,125970,190,1967848
725,70,38,32,0,190,125970,1967848
726,71,32,39,0,125970,20,219781
727,71,39,32,0,20,125970,219781
728,72,32,40,0,125970,1,12022
729,72,40,32,0,1,125970,12022
730,73,32,41,0,125970,30,317132
731,73,41,32,0,30,125970,317132
732,74,32,42,0,125970,435,4212448
733,74,42,32,0,435,125970,4212448
734,75,32,43,0,125970,4060,36387170
735,75,43,32,0,4060,125970,36387170
736,66,33,33,0,77520,77520,422818568
737,67,33,34,0,77520,38760,214688113
738,67,34,33,0,38760,77520,214688113
739,68,33,35,0,77520,15504,88474280
740,68,35,33,0,15504,77520,88474280
741,69,33,36,0,77520,4845,28464525
742,69,36,33,0,4845,77520,28464525
743,70,33,37,0,77520,1140,7019100
744,70,37,33,0,1140,77520,7019100
745,71,33,38,0,77520,190,1227767
746,71,38,33,0,190,77520,1227767
747,72,33,39,0,77520,20,NaN
748,72,39,33,0,20,77520,NaN
749,73,33,40,0,77520,NaN,NaN
750,73,40,33,0,NaN,77520,NaN
751,74,33,41,0,77520,30,200190
752,74,41,33,0,30,77520,200190
753,75,33,42,0,77520,435,2623269
754,75,42,33,0,435,77520,2623269
755,76,33,43,0,77520,4060,22799750
756,76,43,33,0,4060,77520,22799750
757,77,33,44,0,77520,27405,144261454
758,77,44,33,0,27405,77520,144261454
759,68,34,34,0,38760,38760,109954620
760,69,34,35,0,38760,15504,44993824
761,69,35,34,0,15504,38760,44993824
762,70,34,36,0,38760,4845,14625240
763,70,36,34,0,4845,38760,14625240
764,71,34,37,0,38760,1140,3580369
765,71,37,34,0,1140,38760,3580369
766,72,34,38,0,38760,190,634744
767,72,38,34,0,190,38760,634744
768,73,34,39,0,38760,20,71351
769,73,39,34,0,20,38760,71351
770,74,34,40,0,38760,1,3952
771,74,40,34,0,1,38760,3952
772,75,34,41,0,38760,30,102496
773,75,41,34,0,30,38760,102496
774,76,34,42,0,38760,435,1349916
775,76,42,34,0,435,38760,1349916
776,77,34,43,0,38760,4060,11587905
777,77,43,34,0,4060,38760,11587905
778,78,34,44,0,38760,27405,73703380
779,78,44,34,0,27405,38760,73703380
780,79,34,45,0,38760,142506,362680095
781,79,45,34,0,142506,38760,362680095
782,70,35,35,0,15504,15504,18600516
783,71,35,36,0,15504,4845,6004205
784,71,36,35,0,4845,15504,6004205
785,72,35,37,0,15504,1140,1489168
786,72,37,35,0,1140,15504,1489168
787,73,35,38,0,15504,190,262231
788,73,38,35,0,190,15504,262231
789,74,35,39,0,15504,20,30042
790,74,39,35,0,20,15504,30042
791,75,35,40,0,15504,1,1651
792,75,40,35,0,1,15504,1651
793,76,35,41,0,15504,NaN,NaN
794,76,41,35,0,NaN,15504,NaN
795,77,35,42,0,15504,435,555001
796,77,42,35,0,435,15504,555001
797,78,35,43,0,15504,4060,4784672
798,78,43,35,0,4060,15504,4784672
799,79,35,44,0,15504,27405,30085130
800,79,44,35,0,27405,15504,30085130
801,80,35,45,0,15504,142506,148733598
802,80,45,35,0,142506,15504,148733598
803,81,35,46,0,15504,593775,590811150
804,81,46,35,0,593775,15504,590811150
805,72,36,36,0,4845,4845,1963461
806,73,36,37,0,4845,1140,483887
807,73,37,36,0,1140,4845,483887
808,74,36,38,0,4845,190,86810
809,74,38,36,0,190,4845,86810
810,75,36,39,0,4845,20,9899
811,75,39,36,0,20,4845,9899
812,76,36,40,0,4845,1,565
813,76,40,36,0,1,4845,565
814,77,36,41,0,4845,NaN,NaN
